Ref_No,Facility_Name,Service_Type,Contact_Name,Address1,Address2,Address3,Town,Eircode,County,Age_Range,Area,Community,Contact_Name,Email,Phone_Number
TU2015CW024,Little Orchard ,Full Day,Clare Murphy ,Leighlinbridge Community Childcare Centre ,, ,Leighlinbridge ,R93 KN72,Carlow,0 - 6 Years,South,N/A,Thomas Lawlor PP,littleorchardcommunitychildcare@yahoo.com,059 9722933
TU2015CW008,Little People Academy ,Full Day,Marie Kavanagh ,Link Road ,Brownshill, ,Brownshill ,R93 D300,Carlow,0 - 6 Years,South,N/A,Marie Kavanagh,brownshillcreche@eircom.net,059 9164615
TU2015CW025,Little Stars Childcare ,Full Day,Susan McLoghlin Nicola Reddy ,Quinagh Green ,Blackbog Road, ,Carlow ,R93 TF96,Carlow,0 - 6 Years,South,N/A,Susan McLoughlin,littlestarscarlow@gmail.com,059 9136912
TU2015CW026,Little Trinity Creche & Montessori ,Full Day,Brenda Fitzgerald ,Montessori School ,17A Chapelstown Gate,Tullow Road ,Carlow ,N/A,Carlow,0 - 6 Years,South,N/A,Brenda Fitzgerald,littletrinitycarlow@yahoo.com,059 9173155
TU2015CW032,O’Regan's Nursery and Pre-school ,Full Day,Anne Dermody ,St Martins ,Quinagh, ,Carlow ,R93 ND89,Carlow,0 - 6 Years,South,N/A,Mary Bolger,oregansnursery@hotmail.com,059 9142356
TU2015CW036,Scallywags ,Full Day,Michelle Doyle Anne Nolan ,Woodglade ,, ,Fenagh ,R21 C958,Carlow,0 - 6 Years,South,N/A,Anne Nolan Michelle Doyle,scallywagscreche@hotmail.co.uk,059 9727760
TU2015CW037,Sioga Beaga Creche & Montessori ,Full Day,Aine Byrne ,Castlemore ,, ,Tullow ,R93 CC82,Carlow,1 - 6 Years,South,N/A,Aine Byrne,ainec2006@yahoo.co.uk,059 9181715
TU2015CW039,St. Catherine's Community Services Centre ,Full Day,Pauline Byrne ,St Josephs Road ,, ,Carlow ,R93 T4C6,Carlow,3 - 6 Years,South,N/A,Adrian Dunlevy,childcare@catherines.ie,059 9138700
TU2015CW041,Stepping Stones Childcare Centre  ,Full Day,Catherine Maher ,Moneybeg ,Royal Oak Road, ,Bagenalstown ,R21 N838,Carlow,0 - 6 Years,South,N/A,Ken Hickey,steppingstoneschildcarecentre@yahoo.ie,059 9722028
TU2015CW044,The Creative Kids ,Full Day,Katarzyna Gurzawska ,"Unit 1, Liddard House ",Liddard House,Old Burrin Road ,Carlow ,R93 A729,Carlow,2 - 6 Years,South,N/A,Katarzyna Gurzawska,creativekidscarlow@gmail.com,059 9141719
TU2015CW048,Tots to Teens ,Full Day,Patricia Nolan  ,Shillelagh Road ,, ,Tullow ,R93 A073,Carlow,0 - 6 Years,South,N/A,Elaine McDevitt,info@totstoteenstullow.ie,059 9180942
TU2015CW018,Holy Angels ,Part Time,Geraldine Connell ,Day Care Centre ,Strawhall Industrial Estate, ,Carlow ,R93 AO99,Carlow,1 - 6 Years,South,N/A,Geraldine Connell,info@theholyangels.org,059 9143911
TU2015CW019,Jigsaw Childcare  ,Part Time,Sulinder Finn ,34 Highfield ,Dublin Road, ,Carlow ,N/A,Carlow,2 - 6 Years,South,N/A,Sulinder Finn,sulinderfinn@live.ie,059 9135271
TU2016CW003,Kloyda Montessori School ,Part Time,Marie O'Connor ,Urglin Centre ,Ruthland, ,Bennekerry ,R93 YF72,Carlow,3 - 6 Years,South,N/A,Marie O'Connor,karlshortt@yahoo.ie,059 9137708
TU2015CW023,Little Learners Montessori ,Part Time,Sharon  Molloy ,Main Street ,, ,Rathvilly ,R93 HK20,Carlow,2 - 6 Years,South,N/A,Jenny Doyle,Littlelearnersmont@gmail.com,N/A
TU2015CW026,Little Trinity Creche & Montessori ,Part Time,Brenda Fitzgerald ,Montessori School ,17A Chapelstown Gate,Tullow Road ,Carlow ,N/A,Carlow,0 - 6 Years,South,N/A,Brenda Fitzgerald,littletrinitycarlow@yahoo.com,059 9173155
TU2016CW004,Play and Learn Pre-School ,Part Time,Alison Farrell ,St. Mary's National School ,Royal Oak Road, ,Bagenalstown ,R21 P440,Carlow,2 - 6 Years,South,N/A,Alison Farrell,playandlearncarlow@gmail.com,085 8401275
TU2015CW034,Play Together Montessori ,Part Time,Eleanor Peters ,Carlow Educate Together National School ,Best Field,Athy Road ,Carlow ,R93 TW74,Carlow,2 - 6 Years,South,N/A,Eleanor Peters ,eleanor@carloweducatetogether.ie,059 9137541
TU2015CW048,Tots to Teens ,Part Time,Patricia Nolan  ,Shillelagh Road ,, ,Tullow ,R93 A073,Carlow,0 - 6 Years,South,N/A,Elaine McDevitt,info@totstoteenstullow.ie,059 9180942
TU2015CW027,Little Owl Preschool ,Childminder,Margaret McHutcheon ,Mc View  ,Tullow Hill,Tullow ,Carlow ,R93 X938,Carlow,3 - 6 Years,South,N/A,Margaret McHutcheon,magmchutcheon@eircom.net,059 9151800
TU2015CW001,Anne’s Montessori ,Sessional,Michael Murray ,Lisanne ,, ,Hacketstown ,N/A,Carlow,2 - 6 Years,South,N/A,Michael Murray,annemurray52@yahoo.com,059 647168
TU2015CW004,Apple Tree Pre-School ,Sessional,Mary Kealy ,Slate Row Hall ,, ,Hacketstown ,R93 PX93,Carlow,3 - 6 Years,South,N/A,Mary Kealy,marymkealy@gmail.com,N/A
TU2016CW002,Ballinkillen Pre School ,Sessional,Suzanne Coughlan ,Ballinkillen ,, ,Bagenalstown ,R21 ED29,Carlow,Unknown,South,N/A,Suzanne Coughlan,clevercats17@eircom.net,N/A
TU2015CW007,Borris Community Playschool Ltd ,Sessional,Siobhan Kavanagh ,Respond Building ,Oak Tree Court, ,Borris ,R95 AK77,Carlow,2 - 6 Years,South,N/A,James Doyle,borrisplayschool@eircom.net,059 9773881
TU2015CW009,Busy Bees Playschool ,Sessional,Marian Keyes ,Staplestown ,, ,Carlow ,R93 W351,Carlow,3 - 6 Years,South,N/A,Marian Keyes,keyesmarion@yahoo.ie,059 9140083
TU2015CW013,Clareville Montessori  ,Sessional,Aisling Nolan ,Tullow Road ,, ,Carlow ,N/A,Carlow,2 - 6 Years,South,N/A,Ashling Nolan,ashling_nolan@hotmail.com,059 9164658
TU2015CW016,Forward Steps Resource Centre Ltd. ,Sessional,Molly Kirwan Marese Gleeson ,Chapel Lane ,, ,Tullow ,R93 CY68,Carlow,2 - 6 Years,South,N/A,Elaine Byrne Moran,forwardsteps@eircom.net,059 1952776
TU2015CW017,Hillview Early Learning  ,Sessional,Eileen Hogan ,Wells ,, ,Bagenalstown ,N/A,Carlow,2 - 6 Years,South,N/A,Eileen Hogan,ehogan48@yahoo.com,059 9723015
TU2016CW003,Kloyda Montessori School ,Sessional,Marie O'Connor ,Urglin Centre ,Ruthland, ,Bennekerry ,R93 YF72,Carlow,3 - 6 Years,South,N/A,Marie O'Connor,karlshortt@yahoo.ie,059 9137708
TU2015CW008,Little People Academy ,Sessional,Marie Kavanagh ,Link Road ,Brownshill, ,Brownshill ,R93 D300,Carlow,0 - 6 Years,South,N/A,Marie Kavanagh,brownshillcreche@eircom.net,059 9164615
TU2015CW028,Mary’s Preschool ,Sessional,Mary Lawler ,Mc Grath Hall ,Station Road, ,Bagenalstown ,R21 WR66,Carlow,3 - 6 Years,South,N/A,Mary Lawler,lawler.kilcarrig@gmail.com,N/A
TU2015CW029,Millview Montessori School ,Sessional,Anne Leybourne ,Kilgraney ,, ,Kilbride ,R93 V5X0,Carlow,2 - 6 Years,South,N/A,Anne Leybourne,anport78@yahoo.co.uk,087 2939892
TU2015CW030,Myshall Montessori ,Sessional,Pauline Murphy ,Myshall Community Centre ,, ,Myshall ,N/A,Carlow,2 - 6 Years,South,N/A,Pauline Murphy,myshallmontessori@gmail.com,N/A
TU2015CW031,Naionra Aras Na nOg ,Sessional,Lorraine Mhic Eoin ,"Room 6, St. Fiacc's Swimming Pool ",Leisure Centre, ,Graig Chuilinn ,R93 N5Y0,Carlow,3 - 6 Years,South,N/A,Lorraine Mhic Eoin,lorraineowens1@gmail.com,N/A
TU2015CW033,Pied Piper Community Pre-School Ltd ,Sessional,Caitriona O'Gorman Mary Soanes ,Woodgrove Community Centre ,Woodgrove, ,Rathvilly ,R93 K061,Carlow,2 - 6 Years,South,N/A,Anna  Deering,piedpiper@live.ie,N/A
TU2016CW004,Play and Learn Pre-School ,Sessional,Alison Farrell ,St. Mary's National School ,Royal Oak Road, ,Bagenalstown ,R21 P440,Carlow,2 - 6 Years,South,N/A,Alison Farrell,playandlearncarlow@gmail.com,085 8401275
TU2015CW035,Rathoe Community Childcare Ltd ,Sessional,Barbara Byrne ,Rathoe ,, ,Rathoe ,R93 DW90,Carlow,2 - 6 Years,South,N/A,Sinead Donnelly,barbara@rathoecommunitychildcare.com,059 9148879
TU2015CW038,St. Moling's Montessori ,Sessional,Rita Murphy ,Dranagh ,, ,St Mullins ,R95 AW97,Carlow,3 - 6 Years,South,N/A,Rita Murphy,johnjoemurphy12@eircom.net,051 424807
TU2015CW040,Step by Step Montessori  ,Sessional,Kathleen Foley ,36 Oakley Park ,Tullow Road, ,Carlow ,R93 X656,Carlow,2 - 6 Years,South,N/A,Kathleen Foley,kathleenfoley@stepbystep-montessori.ie,059 9140800
TU2015CW042,Suantrai Montessori ,Sessional,Frances Byrne ,Tinryland ,, ,Carlow ,R93 K2C9,Carlow,3 - 6 Years,South,N/A,Frances Byrne,cjbplanthire@gmail.com,059 9131518
TU2016CW001,The Children's House ,Sessional,Natashya Long ,The Orchard ,Dunleckney,Bagenalstown ,Carlow ,N/A,Carlow,3 - 6 Years,South,N/A,Natashya Long,natashyal@live.ie,085 1135165
TU2015CW045,The Trees Montessori ,Sessional,Deirdre Small ,Ballinacarrig ,Wexford Road, ,Carlow ,R93 VW60,Carlow,2 - 6 Years,South,N/A,Deirdre Small,info@thetreesmontessori.ie,086 8573767
TU2015CW046,Tippy Toes Montessori ,Sessional,Jennie Nolan-Murphy ,St Anthony’s ,Green Lane,Rathnapish ,Carlow ,R93 H394,Carlow,3 - 6 Years,South,N/A,Jennie Nolan-Murphy,jennienmurphy@gmail.com,059 9169111
TU2015CW047,Tots Corner Playgroup  ,Sessional,Jackie Malone ,St Fiacs Leisure Centre ,Leighlin Road, ,Graiguecullen ,R93 N5Y0,Carlow,3 - 6 Years,South,N/A,Jackie Malone,jackiemalone2011@gmail.com,059 9130001
TU2015CW048,Tots to Teens ,Sessional,Patricia Nolan  ,Shillelagh Road ,, ,Tullow ,R93 A073,Carlow,0 - 6 Years,South,N/A,Elaine McDevitt,info@totstoteenstullow.ie,059 9180942
TU2015CN002,Angela Deighan’s Montessori School ,Full Day,Angela Deighan ,Ramparts View ,, ,Virginia ,A82 XE27,Cavan,2 - 6 Years,DNE,N/A,Angela  Deighan,info@angeladeighan.com,049 8543462
TU2015CN003,Angel's Nest Creche and Playgroup ,Full Day,Cynthia McAuley ,Yew Park ,Virginia, ,Virginia ,A82 W089,Cavan,0 - 6 Years,DNE,N/A,Cynthia McAuley,angelsnest@eircom.net,049 8548053
TU2015CN004,Bailie Tots Play School and Creche ,Full Day,Margaret Cundelan ,Galbolie ,, ,Bailieborough ,A82 Y098,Cavan,0 - 6 Years,DNE,N/A,Margaret Cundelan,dunnecundelan@gmail.com,042 9694810
TU2015CN005,Bailieborough Resource House ,Full Day,Yvonne Lynch ,Drumbannon ,, ,Bailieborough ,A82 YN63,Cavan,0 - 6 Years,DNE,N/A,Philip Fyfe,bailieborough@eircom.net,042 9666068
TU2015CN006,Ballinamoney Childcare Project Ltd ,Full Day,Imelda Carolan ,Ballinamoney ,, ,Bailieborough ,A82 X263,Cavan,0 - 6 Years,DNE,N/A,Theresa Corrigan,ballinamoneychildcare@eircom.net,042 9675885
TU2015CN008,Ballyjamesduff Community Creche ,Full Day,Laura McCabe ,Virginia Road ,, ,Ballyjamesduff ,A82 R282,Cavan,0 - 6 Years,DNE,N/A,Kevin Foley,bjdchildcare@gmail.com,049 8553391
TU2015LM003,Blacklion Childcare Services ,Full Day,Sarah Moffitt ,Toam ,, ,Blacklion ,F91 HW86,Cavan,0 - 6 Years,West,N/A,Anna Mc Tiernan,blacklionchildcare@gmail.com,071 9853055
TU2015CN012,Busy Bees ,Full Day,Edel McIntyre ,Drumalt ,Arvagh, ,Cavan ,H12 AY66,Cavan,0 - 6 Years,DNE,N/A,Petra Hoffman,arvaareachildcare@eircom.net,049 4328947
TU2015CN013,Busy Bees  ,Full Day,Margo  Campbell ,Leiter ,Baileborough, ,Cavan ,N/A,Cavan,0 - 6 Years,DNE,N/A,Margo Campbell,cmccampbell@eircom.net,042 9694759
TU2015CN015,Carealot Daycare ,Full Day,Maura Comiskey ,Corgreagh ,Tullyvin, ,Cootehill ,H16 HX93,Cavan,0 - 6 Years,DNE,N/A,Maura  Comiskey,mcomiskey96@gmail.com,049 5553855
TU2015CN016,Ciara's Home from Home ,Full Day,Ciara Kiernan ,Glasscarrick ,, ,Loughduff ,H12 NW83,Cavan,0 - 6 Years,DNE,N/A,Ciara Kiernan,ciarakiernan@outlook.com,087 7629088
TU2016CN001,Clever Clogs Childcare Services Ltd ,Full Day,Paula Donohoe ,Unit 6 Annagh Business Park ,, ,Ballyconnell ,H14 HT61,Cavan,2 - 6 Years,DNE,N/A,Paula Donohoe,gjdonohue@eircom.net,N/A
TU2015CN017,Clever Clogs Montessori & Daycare ,Full Day,Paula Donohoe ,21 Doon Heights ,, ,Ballyconnell ,H14 PW13,Cavan,0 - 6 Years,DNE,N/A,Paula Donohoe,gjdonohue@eircom.net,049 9527965
TU2015CN019,Cootehill Community Childcare ,Full Day,Mary Farrelly ,Drumnaveil ,, ,Cootehill ,H16 NH28,Cavan,0 - 6 Years,DNE,N/A,Miriam McCullagh,cootehillcc@gmail.com,049 5555751 
TU2015CN020,Drumlane Community Childcare Ltd ,Full Day,Rosaleen Morgan ,Uragh ,Milltown, ,Belturbet ,H14 K224,Cavan,0 - 6 Years,DNE,N/A,Barbara  Stewart,drumlanechildcare@eircom.net,049 9529072
TU2015CN021,Dúanaire Kindergarten ,Full Day,Sheelagh McCabe ,Hall St. ,, ,Kingscourt ,A82 K577,Cavan,0 - 6 Years,DNE,N/A,Sheelagh McCabe,sheelaghmccabe@gmail.com,042 9667708
TU2015CN022,Happy Days Child Care ,Full Day,Margaret McCabe ,Copenagh ,, ,Virginia ,A82 D6K7,Cavan,0 - 6 Years,DNE,N/A,Margaret McCabe,maggiemccabe@eircom.net,049 8554819
TU2015CN023,Happy Days Childcare Services Ltd ,Full Day,Aisling Reilly ,17 Fairgreen ,, ,Belturbet ,H14 DH56,Cavan,3 - 6 Years,DNE,N/A,Aisling  Reilly,happydaysccs@eircom.net,049 9524863
TU2015CN024,Happy Days Playgroup & Crèche ,Full Day,Jacqueline Brogan Emma Brogan ,Main Street ,, ,Mullagh ,AB2 YH26,Cavan,0 - 6 Years,DNE,N/A,Jaqueline Brogan,emmabrgn998@gmail.com,046 9242588
TU2015CN028,Kavan Kids Kreche Ltd ,Full Day,Rachel Berns Anna McCarron ,Maple Avenue ,The Gallops,Latt ,Cavan ,H12 A466,Cavan,0 - 6 Years,DNE,N/A,Rachel Berns Anna McCarron,kavankids@yahoo.ie,049 4327605
TU2015CN030,Kiddies Den ,Full Day,Philomena Lynch ,Cloncovid ,, ,Kilcogy ,N39 TC98,Cavan,0 - 6 Years,DNE,N/A,Philomena  Lynch,philomenalynch1@gmail.com,043 6687006
TU2015CN031,Kids Corner  ,Full Day,Catherine McCabe ,22 Thorndale Close ,, ,Kingscourt ,A82 E6X7,Cavan,0 - 6 Years,DNE,N/A,Catherine McCabe,catherine.mccabe@hotmail.com,087 6377440
TU2015CN034,Krafty Kids ,Full Day,Annette Coyle ,Cullyleenan ,, ,Ballyconnell ,H14 W084,Cavan,0 - 6 Years,DNE,N/A,Patrick Rudden,playtime16@gmail.com,049 9526045
TU2015CN036,Little Buds Childcare ,Full Day,Bernice Gardiner ,Main Street ,, ,Mullagh ,A82 C9F8,Cavan,2 - 6 Years,DNE,N/A,Bernice Gardiner,littlebudschildcare@hotmail.com,087 6804356
TU2015CN039,Little Rascals ,Full Day,Colette O'Reilly ,Corfree ,, ,Lough Gowna ,H12 HX08,Cavan,2 - 6 Years,DNE,N/A,Colette O'Reilly,colettetoreilly@hotmail.com,043 6683244
TU2015CN043,Mini Me's Crèche ,Full Day,Evelyn Sheridan ,Drumahurk ,, ,Butlersbridge ,N/A,Cavan,0 - 6 Years,DNE,N/A,Evelyn Sheridan,evelynsheridan@ymail.com,049 4366047
TU2015CN045,Pebbles Childcare ,Full Day,Pauline Grimes ,Shercock Road ,Cabra, ,Kingscourt ,N/A,Cavan,0 - 6 Years,DNE,N/A,Pauline Grimes,pebblesmontessori2012@gmail.com,042 9698800
TU2015CN047,Play Days/Nulty Creche Limited ,Full Day,Paul Nulty ,Assan ,New Inn, ,Ballyjamesduff ,A82 VP93,Cavan,0 - 6 Years,DNE,N/A,Helen  Nulty,nultycreche@gmail.com,049 8544937
TU2015CN048,Playaways Creche ,Full Day,Anne Clarke ,Foxglove Hill ,Rocklands, ,Cavan ,N/A,Cavan,0 - 6 Years,DNE,N/A,Anne Clarke,meganclarke1@gmail.com,049 4365674
TU2015CN051,Scribbles ,Full Day,Louise Bosch ,Drumheel ,, ,Virginia ,A82 DH04,Cavan,2 - 6 Years,DNE,N/A,Louise Bosch,lbosch6@gmail.com,049 8548481
TU2015CN052,Shercock Child Resource Centre Ltd ,Full Day,Siobhan O'Reilly ,Kingscourt Road ,, ,Shercock ,A81 X386,Cavan,2 - 6 Years,DNE,N/A,Darina  Lynch,Shercockchildresource@eircom.net,042 9669966
TU2015CN054,Small Steps Childcare ,Full Day,Josie Clarke ,Unit 4 and 5 Aeta Place ,Gortnaskesh, ,Cavan ,H12 TX63,Cavan,0 - 6 Years,DNE,N/A,Anne Reilly,smallstepschildcarecavan@gmail.com,086 1081167
TU2015CN055,Small World Day Care ,Full Day,Sharon Kilkenny ,Gortnashannon ,, ,Crossdoney ,H12 K718,Cavan,0 - 6 Years,DNE,N/A,Sharon  Kilkenny,ekilkenny69@eircom.net,049 4337911
TU2015CN057,Sticky Fingers Montessori and Daycare ,Full Day,Denise O'Keefe ,Millview ,Moynehall, ,Cavan ,H12 D780,Cavan,0 - 6 Years,DNE,N/A,Lorraine  Heaslip,stickyfingerscavan@hotmail.com,049 4362189
TU2015CN058,Sunny Hollow (Ballymachugh Childcare Group) ,Full Day,Brenda Sheils ,Omard ,, ,Kilnaleck ,A82 YT50,Cavan,0 - 6 Years,DNE,N/A,Noreen Mulligan,sunnyhollowbmh@gmail.com,049 4374511
TU2015CN060,The Children's House ,Full Day,Antoinette Gibbons ,47/48 Ashbrooke Manor ,Moynehall, ,Cavan ,N/A,Cavan,0 - 6 Years,DNE,N/A,Antoinette Gibbons,gibbonsantoinette@gmail.com,049 4326826
TU2015CN002,Angela Deighan’s Montessori School ,Part Time,Angela Deighan ,Ramparts View ,, ,Virginia ,A82 XE27,Cavan,2 - 6 Years,DNE,N/A,Angela  Deighan,info@angeladeighan.com,049 8543462
TU2015CN020,Drumlane Community Childcare Ltd ,Part Time,Rosaleen Morgan ,Uragh ,Milltown, ,Belturbet ,H14 K224,Cavan,0 - 6 Years,DNE,N/A,Barbara  Stewart,drumlanechildcare@eircom.net,049 9529072
TU2015CN032,Killeshandra Playgroup Ltd ,Part Time,Rosemary Galligan ,Resource Centre ,Main Street, ,Killeshandra ,H12 A3X2 ,Cavan,3 - 6 Years,DNE,N/A,Sabrina Fitzpatrick,fibevis1@gmail.com,049 4334011
TU2015CN041,Little Stars Community Playgroup and Afterschool Ltd ,Part Time,Imelda O'Reilly ,31 Bellamount View ,, ,Cootehill ,H16 Y310,Cavan,2 - 6 Years,DNE,N/A,Fiona  Bannon McCormack,littlestarsltd@gmail.com,049 5552046
PROD_0003,Name,Part Time,p,Line,,,Town,Code,Cavan,1 - 6 Years,DNE,,p,pp@pp.com,p
TU2015CN056,Stepping Stones Pre School Ltd ,Part Time,Bernie Gumley ,River Street ,, ,Cavan ,H12 H5F6,Cavan,3 - 6 Years,DNE,N/A,Marice Graham,mgalligan@cavancoco.ie,049 4331204
TU2015CN058,Sunny Hollow (Ballymachugh Childcare Group) ,Part Time,Brenda Sheils ,Omard ,, ,Kilnaleck ,A82 YT50,Cavan,0 - 6 Years,DNE,N/A,Noreen Mulligan,sunnyhollowbmh@gmail.com,049 4374511
TU2017CN501,The Next Step Pre-School ,Part Time,Tracey Woods ,Billis ,, ,Ballyjamesduff ,N/A,Cavan,3 - 6 Years,DNE,N/A,Tracey Woods,traceymcc08@hotmail.co.uk,087 7649285
TU2015CN026,Janette Deane  ,Childminder,Janette Deane ,Cordoagh Lower ,Kill, ,Cootehill ,H16 R940,Cavan,0 - 6 Years,DNE,N/A,Janette Deane,janettedeane@hotmail.co.uk,049 5553832
TU2015CN027,Karena's Childminding  ,Childminder,Karena Farrelly ,3 Brankill ,, ,Arva ,N/A,Cavan,0 - 6 Years,DNE,N/A,Karena Farrelly,karenafarrelly@hotmail.com,049 4328591
TU2018CN502,Kings and Queens Childminding ,Childminder,Esther Solagbade ,28 Ashbrooke Grove ,Moynehall,Ballimagh Road ,Cavan ,H12 E702,Cavan,3 - 6 Years,DNE,,Esther Solagbade,esthersolagbade@yahoo.ie,087 1502295
TU2015CN002,Angela Deighan’s Montessori School ,Sessional,Angela Deighan ,Ramparts View ,, ,Virginia ,A82 XE27,Cavan,2 - 6 Years,DNE,N/A,Angela  Deighan,info@angeladeighan.com,049 8543462
TU2015CN007,Ballyhaise Community Pre-School ,Sessional,Anne Shields ,Community Centre ,, ,Ballyhaise ,H12 E5F7,Cavan,3 - 6 Years,DNE,N/A,Anne Shields,ballyhaisepreschool@gmail.com,049 4351738
TU2015CN009,Ballyjamesduff Community Pre-School ,Sessional, Laura McCabe ,St. Teresa's  ,Oldcastle Road, ,Ballyjamesduff ,A82 R282,Cavan,3 - 6 Years,DNE,N/A,Kevin Foley,bjdchildcare@gmail.com,049 8553391
TU2015CN010,Bright Start ,Sessional,Nuala Gilsenan ,Main St ,, ,Mullagh ,A82 D282,Cavan,3 - 6 Years,DNE,N/A,Nuala Gilsenan,info@brightstart.ie,046 9242881
TU2015CN011,Bunnoe Playschool ,Sessional,Tara McCabe ,Bunnoe Community Centre ,Lisboduff,Cootehill ,Bunnoe ,H16 P031,Cavan,2 - 6 Years,DNE,N/A,Audrey Maguire,bunnoechildcare@hotmail.com,049 5553897
TU2016CN001,Clever Clogs Childcare Services Ltd ,Sessional,Paula Donohoe ,Unit 6 Annagh Business Park ,, ,Ballyconnell ,H14 HT61,Cavan,2 - 6 Years,DNE,N/A,Paula Donohoe,gjdonohue@eircom.net,N/A
TU2015CN018,Clever Clogs Montessori Pre-School  ,Sessional,Paula Donohoe ,Church Street ,, ,Ballyconnell ,N/A,Cavan,3 - 6 Years,DNE,N/A,Paula Donohoe,gjdonohue@eircom.net,049 9327965
TU2015LM031,Dowra Childcare Service Company Ltd ,Sessional,Pauline McGovern Stephanie McGovern ,Dowra Resource Centre ,, ,Dowra ,N41 X8Y9,Cavan,3 - 6 Years,West,N/A,Peter Lowe,dowrachildcare@gmail.com,071 9643900
TU2015CN020,Drumlane Community Childcare Ltd ,Sessional,Rosaleen Morgan ,Uragh ,Milltown, ,Belturbet ,H14 K224,Cavan,0 - 6 Years,DNE,N/A,Barbara  Stewart,drumlanechildcare@eircom.net,049 9529072
TU2015CN025,Happy Hours Community Playgroup Ltd ,Sessional,Olivia Callery ,Ballinagh Community Centre ,, ,Ballinagh ,H12 V8X5,Cavan,2 - 6 Years,DNE,N/A,Linda  Crowe,happyhoursballinagh@gmail.com,049 4337786
TU2015CN029,Kavan Kids Montessori ,Sessional,Rachel Berns ,The Beeches ,, ,Redhills ,H14 X526,Cavan,3 - 6 Years,DNE,N/A,Rachel Berns,kavankids@yahoo.ie,086 3838759
TU2015CN030,Kiddies Den ,Sessional,Philomena Lynch ,Cloncovid ,, ,Kilcogy ,N39 TC98,Cavan,0 - 6 Years,DNE,N/A,Philomena  Lynch,philomenalynch1@gmail.com,043 6687006
TU2017CN500,Kiddiez Den ,Sessional,Prscilla Smith ,Toylion ,Church Road, ,Kilnaleck ,N/A,Cavan,2 - 6 Years,DNE,N/A,Priscilla Smith,olivialee3@gmail.com,049 4374846
TU2015CN033,Kilnaleck Playgroup ,Sessional,Lorraine O'Reilly ,Liós na Sí ,, ,Kilnaleck ,A82 K825,Cavan,3 - 6 Years,DNE,N/A,Lorraine  O' Reilly,kilnaleckplaygroup@gmail.com,049 4336908
TU2015CN035,Laragh Childcare Services Ltd ,Sessional,Louise McCabe ,Stradone Community Centre ,, ,Stradone ,H12 X6P4,Cavan,3 - 6 Years,DNE,N/A,Marianne  Cosgrove,admin@laraghchildcareservices.com,049 4323883
TU2015CN037,Little Friends Montessori ,Sessional,Teresa Leddy ,2 & 3 Cathedral View ,, ,Cavan ,H12 N478,Cavan,2 - 6 Years,DNE,N/A,Teresa  Leddy,littlefriends@eircom.net,049 4371761
TU2015CN038,Little Gems Montessori  ,Sessional,Nuala Rogers ,Enagh ,Beglieve, ,Bailieboro ,A82 E281,Cavan,3 - 6 Years,DNE,N/A,Nuala Rogers,nualarogers18@yahoo.com,042 9660551
